step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
103,CASH_IN,15771.256614876173,C7727522,10303.983730435377,0.0,C3499030,4333.106902557688,20104.36351743386,0
436,TRANSFER,8628.8855574872,C3586722,1989.1593811765983,0.0,C1176710,5593.98139716687,14222.86695465407,0
271,DEBIT,13464.758765498676,C4006584,13866.022329046627,401.263563547951,C5993627,61.75906488541183,13526.517830384088,0
107,CASH_IN,4929.296888970247,C6021273,134894.423406632,129965.12651766176,C5455087,1796.6538774214164,6725.950766391663,0
72,TRANSFER,449.9417425103417,C7155293,1175.461194482321,725.5194519719792,C5025734,2677.7477883508727,3127.6895308612143,0
701,TRANSFER,54225.8401988352,C9058850,1334.3882398440676,0.0,C3720322,355442.8695186311,409668.70971746626,0
21,CASH_IN,3659.812288138782,C1939501,307.14547850526986,0.0,C5188222,12757.201985882803,16417.014274021585,0
615,TRANSFER,449.49353428005764,C3422667,1338.059237826887,888.5657035468294,C8886486,1642.4909484041636,2091.9844826842213,0
122,PAYMENT,312.3243930464982,C2738050,1184.9465670189757,872.6221739724774,C1495790,3370.911845324681,3683.2362383711793,0
467,PAYMENT,475.51652154143403,C8652542,5388.456612485168,4912.940090943734,C4555041,18961.67478083531,19437.191302376745,0
215,CASH_IN,253.30364803648132,C8574020,8800.509120400808,8547.205472364327,C6732960,3805.080131275495,4058.3837793119765,0
331,DEBIT,11359.036270590883,C5302347,483.3141674391876,0.0,C6507054,2513.188693793466,13872.22496438435,0
459,PAYMENT,2100.1766541170136,C5109107,15103.49540073648,13003.318746619465,C9525539,2680.029256178804,4780.205910295817,0
88,PAYMENT,14072.945693648138,C7800121,13284.459325477314,0.0,C9330253,21151.386729887807,35224.33242353595,0
373,CASH_IN,30913.468442095847,C4107134,12700.487650917717,0.0,C6337252,511.1024012516162,31424.570843347465,0
100,CASH_OUT,18426.844745023198,C8481137,1395.8065705505692,0.0,C3700191,921.6828477305031,19348.5275927537,0
664,TRANSFER,10594.039515490911,C8675759,377053.9479264525,366459.90841096157,C1182452,1267.3840589404465,11861.423574431357,0
131,PAYMENT,5297.859978223894,C9511401,28530.149264964843,23232.289286740946,C9893851,890.5261177473665,6188.386095971261,0
662,CASH_OUT,2037.0824128553113,C2109839,552.5265225669393,0.0,C4394752,1560.4542508362806,3597.536663691592,0
309,DEBIT,2327.8671603831726,C1304347,332.5309350352351,0.0,C3699566,48714.13124994834,51041.998410331515,0
344,CASH_OUT,9592.40557161897,C3915456,1600.9800445445337,0.0,C5572870,64389.88029576642,73982.28586738539,0
492,CASH_IN,435.8809765275016,C1082754,9658.289107302864,9222.408130775362,C2676111,13952.501713137719,14388.38268966522,0
414,DEBIT,2676.406986795666,C2458799,145285.2623224633,142608.85533566764,C4848437,12451.863289305595,15128.27027610126,0
386,DEBIT,674.7320283045367,C9045591,2085.355507787003,1410.623479482466,C3598318,2121.8340729331576,2796.566101237694,0
192,CASH_OUT,31131.148522542855,C7604316,364.41006148852546,0.0,C8080014,126.19315858549123,31257.341681128346,0
277,CASH_IN,12507.886618593055,C7246286,14382.606723650591,1874.7201050575368,C9510226,10804.34088865014,23312.227507243195,0
161,PAYMENT,214252.15422840428,C9099136,3154.95132247661,0.0,C9929144,14698.09113439988,228950.24536280415,0
460,CASH_OUT,654.9752741411603,C8504368,10048.986657321211,9394.011383180052,C9038894,2106.2193135637312,2761.1945877048915,0
314,PAYMENT,811.6363323180271,C6340023,5819.422963429447,5007.786631111419,C5074610,941.8596425983659,1753.4959749163932,0
